brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,image_folder_name,image_folder_path,image_count
118_ecotools,3133 IC Tapered Powder Brush,91169,30,Rp 159.900,"""Default"": 159900",https://www.sociolla.com/face-brushes/62827-3133-ic-tapered-powder-brush,,Face Brushes,Accessories; Makeup Brushes; Face Brushes,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,0.0,0,,0,0,0,0,14,118_ecotools_91169,SafeCart_Dataset/images/118_ecotools_91169,9
118_ecotools,3132 IC Fan Head Brush,91168,20,Rp 129.900,"""Default"": 129900",https://www.sociolla.com/face-brushes/62826-3132-ic-fan-head-brush,,Face Brushes,Accessories; Makeup Brushes; Face Brushes,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",1,0,0,1,4,118_ecotools_91168,SafeCart_Dataset/images/118_ecotools_91168,10
118_ecotools,1668 Warm Ocean Breeze Kit,63775,70,Rp 399.900,"""Non Specify"": 399900",https://www.sociolla.com/accessories/16595-1668-warm-ocean-breeze-kit,,Brush Set,TRY CLEAN BEAUTY; Rock and Kohl Makeup Look; Rock and Kohl Makeup Look 100-200K,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.791666666666667,3,"""star_durability"": 4.833333333333333; ""star_eficiency"": 4.666666666666667; ""star_packaging"": 5; ""star_value_for_money"": 4.666666666666667",6,2,0,4,15,118_ecotools_63775,SafeCart_Dataset/images/118_ecotools_63775,10
118_ecotools,1636 360 Ultimate Blend Set,36652,90,Rp 499.000,"""Default"": 499000",https://www.sociolla.com/234-brush-sets/15161-1636-360-ultimate-blend-set,,Brush Set,TRY CLEAN BEAUTY; The 80s is Back Makeup Look; More Hygiene With Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.708333333333334,3,"""star_durability"": 4.833333333333333; ""star_eficiency"": 4.666666666666667; ""star_packaging"": 4.666666666666667; ""star_value_for_money"": 4.666666666666667",6,2,1,3,28,118_ecotools_36652,SafeCart_Dataset/images/118_ecotools_36652,9
118_ecotools,1603 Ultimate Shade Duo,1496,30,Rp 175.000,"""Non Specify"": 175000",https://www.sociolla.com/brush-set/6937-1603-ultimate-shade-duo,,Brush Set,The 80s is Back Makeup Look; The 80s is Back Makeup Look Under 100K; More Hygiene With Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.54,22,"""star_durability"": 4.48; ""star_eficiency"": 4.6; ""star_packaging"": 4.52; ""star_value_for_money"": 4.56",24,11,4,10,112,118_ecotools_1496,SafeCart_Dataset/images/118_ecotools_1496,8
118_ecotools,1205 Lash & Brow Groomer,249,10,Rp 64.900,"""Non Specify"": 64900",https://www.sociolla.com/brow-tools/47596-1205-lash-and-brow-groomer,,Eyebrows,Makeup; Eyes; Eyebrows,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.66304347826087,21,"""star_long_wear"": 5; ""star_packaging"": 4.478260869565218; ""star_pigmentation"": 5; ""star_texture"": 4.75; ""star_value_for_money"": 4.086956521739131",14,5,11,7,104,118_ecotools_249,SafeCart_Dataset/images/118_ecotools_249,10
118_ecotools,Retractable Face Brush,74,50,Rp 260.000,"""Non Specify"": 260000",https://www.sociolla.com/face-brushes/993-retractable-face-brush,,Face Brushes,FLAWLESS BEAUTY BRUSH; Accessories; Makeup Brushes,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.581766917293233,266,"""star_durability"": 4.597744360902255; ""star_eficiency"": 4.646616541353383; ""star_packaging"": 4.7180451127819545; ""star_value_for_money"": 4.364661654135339",256,90,27,149,405,118_ecotools_74,SafeCart_Dataset/images/118_ecotools_74,8
118_ecotools,1605 Perfecting Total Blender,1917,30,Rp 175.000,"""Non Specify"": 175000",https://www.sociolla.com/sponge-applicators/7778-1605-perfecting-total-blender,,Sponge & Applicators,Accessories; Makeup Brushes; Sponge & Applicators,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.3984375,30,"""star_durability"": 4.34375; ""star_eficiency"": 4.375; ""star_packaging"": 4.46875; ""star_value_for_money"": 4.40625",29,10,9,13,33,118_ecotools_1917,SafeCart_Dataset/images/118_ecotools_1917,10
118_ecotools,1217 Eye Enhancing Duo Set,75,40,Rp 225.000,"""Non Specify"": 225000",https://www.sociolla.com/brush-set/994-1217-eye-enhancing-duo-set,,Brush Set,Accessories; Makeup Brushes; Brush Set,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.680369127516778,298,"""star_durability"": 4.6610738255033555; ""star_eficiency"": 4.75503355704698; ""star_packaging"": 4.6375838926174495; ""star_value_for_money"": 4.667785234899329",292,84,33,181,445,118_ecotools_75,SafeCart_Dataset/images/118_ecotools_75,5
118_ecotools,7425 Dry Brush,34111,40,Rp 210.000,"""Non Specify"": 210000",https://www.sociolla.com/default-category/11278-7425-dry-brush,2023-02-07T02:52:36.653Z,Body Sponge,Accessories; Others; Body Sponge,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.342857142857143,13,"""star_durability"": 4.214285714285714; ""star_eficiency"": 4.357142857142857; ""star_packaging"": 4.333333333333333; ""star_value_for_money"": 4.466666666666667",12,8,0,7,78,118_ecotools_34111,SafeCart_Dataset/images/118_ecotools_34111,8
